age,workclass,education,education_num,marital_status,occupation,relationship,race,capital_gain,capital_loss,hours_per_week,native_country,sex_encoded,income
89,2,8,11,1,1,4,4,0,0,34,9,0,1
76,2,12,2,2,5,5,0,0,0,41,9,1,0
17,2,2,12,4,2,3,4,0,0,41,9,1,1
23,2,1,4,4,12,2,4,0,2062,44,9,1,1
33,2,1,3,2,5,3,4,0,0,80,9,0,0
29,2,7,9,2,1,5,4,0,0,72,9,0,0
26,2,10,10,2,2,4,4,0,0,88,9,1,0
73,1,4,9,2,10,4,4,0,0,10,9,0,0
28,2,15,8,2,12,5,2,0,0,39,9,0,0
84,1,8,10,2,0,3,4,0,0,77,8,0,0
76,2,14,2,0,12,5,4,0,0,16,3,1,0
65,2,13,14,6,4,2,4,0,250,92,1,1,1
27,2,0,6,2,2,5,4,0,0,87,9,1,0
77,6,0,2,4,11,0,4,0,0,75,0,0,0
55,2,3,9,4,13,0,0,0,0,17,9,1,0
53,2,0,5,0,1,3,4,0,0,32,9,0,0
56,6,0,12,2,6,1,4,0,0,21,0,1,0
23,2,8,7,2,6,0,2,0,0,27,9,1,0
41,2,7,6,4,6,3,2,0,0,36,9,0,0
83,2,1,2,2,9,2,4,0,0,75,4,1,0
31,6,10,11,2,3,5,2,17976,0,71,9,1,1
82,2,3,9,0,10,4,4,0,0,66,9,1,0
77,2,7,11,4,1,2,4,0,2193,7,9,1,0
50,4,3,9,2,1,5,4,0,0,8,9,0,0
22,2,12,6,2,12,3,4,0,0,36,9,1,0
74,2,14,10,2,7,2,4,0,0,40,9,0,0
88,6,1,7,2,13,5,4,0,0,38,9,1,1
43,2,0,12,2,5,1,4,13942,0,56,9,0,1
31,2,14,3,4,3,1,4,0,0,21,9,0,0
43,2,8,1,2,12,1,4,0,0,61,9,0,0
77,2,12,15,2,6,0,4,0,0,15,9,0,0
23,2,2,15,0,4,3,1,0,0,70,9,1,0
38,4,2,14,4,9,5,4,0,0,38,9,1,1
23,2,9,8,2,5,4,1,0,0,8,9,1,0
19,6,14,3,4,11,4,3,0,0,24,9,0,1
40,2,5,7,0,0,0,4,0,0,6,9,0,0
56,1,10,15,2,4,2,4,0,0,60,9,0,1
70,2,0,3,4,3,4,4,0,0,45,9,1,0
77,2,9,14,2,7,0,4,0,0,16,9,1,0
84,2,12,1,2,0,0,4,24836,0,76,9,1,0
27,4,6,6,4,5,4,4,0,0,51,9,1,1
68,4,14,12,2,11,3,4,0,0,81,9,1,0
48,2,5,3,4,0,0,2,0,0,71,9,1,1
58,4,13,10,2,6,2,4,0,0,27,9,1,1
81,2,11,9,6,8,5,4,0,0,15,9,1,0
54,1,1,13,4,9,0,4,0,0,81,9,1,1
35,2,12,10,2,5,2,1,0,735,5,9,0,0
60,2,4,13,0,7,4,2,0,0,62,9,1,1
35,2,0,8,2,10,0,4,0,0,12,9,1,1
40,2,9,3,2,8,3,4,0,0,59,9,1,0
22,2,15,9,2,2,0,2,0,0,98,9,0,0
53,4,3,7,4,5,1,4,0,0,96,9,0,0
20,2,1,4,0,3,0,2,0,0,80,9,1,1
20,2,14,10,0,3,1,2,22488,0,6,9,1,1
49,2,0,5,0,1,2,2,0,0,38,9,1,1
35,2,11,7,2,4,1,4,0,0,1,9,1,1
48,5,5,4,4,0,0,4,0,0,58,9,1,1
20,2,10,5,4,0,5,4,0,0,9,9,1,0
60,6,6,12,4,1,5,4,0,0,96,9,0,0
44,2,14,14,2,4,3,4,0,0,81,9,0,0
58,2,0,14,4,10,0,4,34566,0,80,9,1,1
37,2,3,12,2,6,1,4,0,0,3,9,1,0
55,2,10,14,1,10,5,4,0,0,36,9,1,1
26,2,14,1,4,3,1,4,0,0,93,9,1,1
32,2,1,12,2,9,4,4,0,0,84,9,0,0
